WE/SOU/DEBD01,Debdoot Sevayan,51 Charu Avenue,Kolkata,West Bengal,,
HA/GUR/SHIV1720,Shiva Hospital,287/A Sector 12 Mata Road Near Dada Singha,Gurugram,Haryana,,
HA/ROH/ADVA215,Advanta Super Speciality Hospital,"Dev Colony, Delhi Road",Rohtak,Haryana,,
MA/RAJ/AYUS01,Ayushman Hospital,Ward No 4 Kurawar Narsinghgarh Road Near,Narsinghgarh,Madhya Pradesh,,
HA/SON/RAMA02,Rama Hospital,"Sonepat Road, Bahalgarh",Sonipat,Haryana,,
UT/LUC/MRIT01,Mritunjaya Medical Centre Pvt Ltd,443/1 Nizampur Malhaur Chinhut,Lucknow,Uttar Pradesh,,
HA/FAR/VARD01,Vardaan Hospital,"3E-1, N.I.T.",Faridabad,Haryana,,
MA/MAN/AJAY01,Ajay Hospital,Shree Cold Chowk Sanjeet Road,Mandsaur,Madhya Pradesh,,
JH/DHA/AMRA01,Amrapali City Hospital,Damkara Barwa By Pass Road Behind Krishi,Dhanbad,Jharkhand,,
UT/GOR/DECE01,Decent Hospital And Trauma,"Buddh Vihar Part A,Taramandal,Gorakhpur,Up",Gorakhpur,Uttar Pradesh,,
MA/SEH/SANI01,Saniya Hospital,Katabag Bhopal Road,Sehore,Madhya Pradesh,,
MA/IND/LAKS1400,Lakshmi Memorial Hospital And,1/2 New Palasia Near Nehru Nagar Bridge,Indore,Madhya Pradesh,,
HA/ROH/CH,Ch Pratap Multi Speciality,"1859/19, Shri Nagar Colony",Rohtak,Haryana,,
P23509,Charitable Hospital,,,,,
UT/MIR/RAJ 22264,Raj Hospital,"Jalalpur, Chunar Road, Kachwa",Mirzapur,Uttar Pradesh,,
UT/ALL/VIJA23456,Vijay Memorial Hospital,"Mig-50, Preetam Nagar",Allahabad,Uttar Pradesh,,
UT/LUC/APEX1738,Apex Trauma Centre,"2/116-A, Sector-J, Main Kursi Road, Opp",Lucknow,Uttar Pradesh,,
UT/BAR/GANG03,Gangasheel Advanced Medical,"C - 17, Deen Dayal Puram",Bareilly,Uttar Pradesh,,
HA/HOD/GOYA01,Goyal Nursing Home,Near Bus Stand,Palwal,Haryana,,
HA/FAR/KEDA2339,Kedar Hospital,"3B/3, B P Nr D A V College, Nit",Faridabad,Haryana,,
UT/NOI/OM H21122,Om Hospital A Unit Of Om Nath,"M-132, Sector-66, Mamura, Near Orange Pie",Noida,Uttar Pradesh,,
UT/KAN/MANN230,Mannat Hospital,"A-2311, Near Galla Mandi, Infront of Aman",Kanpur,Uttar Pradesh,,
MA/BHO/DHRC232,Dhrc Hospital,Near Over Bridge Galla Mandi,Bhopal,Madhya Pradesh,,
MA/CHH/SOHA01,Soham Hospital And Research,Mayur Market Behind Petrolpump Thatipur,Gwalior,Madhya Pradesh,,
MA/SAT/CITY01,City Care Multi Speciality Hospital,"Old Collectorate Road, Near Nagar Palika Store,",Sehore,Madhya Pradesh,,
MA/RAT/VISI01,Vision Hospital And Multispeciality,"H No. 97, Mubarakpur Chouraha, Indore By-",Bhopal,Madhya Pradesh,,
MA/IND/BIRL12369,Birla Hospital,"1120, 1118, New, Gori Nagar Main Rd, New",Indore,Madhya Pradesh,,
MA/RAT/ISHU01,ISHU multispeciality hospital and,"CHIKLOD ROAD, Near SBI Bank, Bangrasia",Bhopal,Madhya Pradesh,,
MA/BHO/EMPI01,Empire Hospital,"Thana Shahjahanabad Road, Infront of Nagar",Bhopal,Madhya Pradesh,,
Hospital Code,Hospital Name,Hospital Address,City,State,,
